Explainable recommendation based on knowledge graph and multi-objective optimization,['Lijie Xie;Zhaoming Hu;Xingjuan Cai;Wensheng Zhang;Jinjun Chen'],Complex & Intelligent Systems,2021-03-06,外文期刊
基于CNKI数据的中国韧性社区知识图谱构建研究,"['汪超', '李志远', '罗贻文']",中国矿业大学学报(社会科学版),2021-03-05 15:49,期刊
基于多任务学习的短文本实体链接方法,"['詹飞', '朱艳辉', '梁文桐', '张旭', '欧阳康', '', '', '']",计算机工程,2021-03-12 16:41,期刊
基于CiteSpace的我国绿色生态网络研究热点与趋势,"['韦宝婧', '胡希军', '朱满乐', '彭琳玉', '徐凯恒']",经济地理,2021-03-12 10:01,期刊
国内城镇开发边界研究进展的知识图谱——基于中国知网（1996—2019）数据,"['黄世鑫', '蔡云楠']",热带地理,2021-03-12 09:53,期刊
文化旅游20年来研究进展——基于CSSCI(2000-2020)数据的计量分析,['张艳萍'],现代商贸工业,2021-03-12,期刊
基于Citespace的中国乡村旅游研究分析,"['张燕', '张涛']",中国商论,2021-03-12,期刊
知识驱动的相似缺陷报告推荐方法,"['余笙', '李斌', '孙小兵', '薄莉莉', '周澄']",计算机科学,2021-03-11 17:33,期刊
异构大数据环境中高效率知识融合方法的研究,"['汪玉', '王鑫', '张淑娟', '郑国强', '赵龙', '', '']",计算机工程与应用,2021-03-11 17:06,期刊
KGDB:统一模型和语言的知识图谱数据库管理系统,"['刘宝珠', '王鑫', '柳鹏凯', '李思卓', '张小旺', '', '']",软件学报,2021-03-11,期刊
基于多源异构数据融合的初中数学知识图谱构建,"['周炫余', '唐祯', '唐丽蓉', '李璇', '卢笑']",武汉大学学报(理学版),2021-03-10 07:16,期刊
基于PCNN的工业制造领域质量文本实体关系抽取方法,"['张彤', '宋明艳', '王俊', '白洋']",信息技术与网络安全,2021-03-10,期刊
国际乡村旅游研究的学术脉络与前沿热点,"['王金伟', '张丽艳', '李明龙']",西南民族大学学报(人文社会科学版),2021-03-10,期刊
近25年来国内社会智库研究进展与趋势——基于CiteSpace的信息可视化分析,['任恒'],西南民族大学学报(人文社会科学版),2021-03-10,期刊
基于CiteSpace知识图谱分析的国内外生态城市研究进展,"['梁芳婷', '蔡云楠']",华中建筑,2021-03-10,期刊
Improving University Faculty Evaluations via multi-view Knowledge Graph,['Lin Qika;Zhu Yifan;Lu Hao;Shi Kaize;Niu Zhendong'],Future Generation Computer Systems,2021-03-09,外文期刊
面向认知的新一代纺织智能制造体系,"['鲍劲松', '江亚南', '刘家雨']",东华大学学报(自然科学版),2021-03-08 11:18,期刊
基于知识图谱的我国农村体育研究时空特征及热点演化研究,['王雪'],浙江体育科学,2021-03-08,期刊
手语识别、翻译与生成综述,"['郭丹', '唐申庚', '洪日昌', '汪萌']",计算机科学,2021-03-08,期刊
跨媒体分析与推理技术研究综述,"['王树徽', '闫旭', '黄庆明']",计算机科学,2021-03-08,期刊
Explainable recommendation based on knowledge graph and multi-objective optimization,['Lijie Xie;Zhaoming Hu;Xingjuan Cai;Wensheng Zhang;Jinjun Chen'],Complex & Intelligent Systems,2021-03-06,外文期刊
基于CNKI数据的中国韧性社区知识图谱构建研究,"['汪超', '李志远', '罗贻文']",中国矿业大学学报(社会科学版),2021-03-05 15:49,期刊
